code,name,price,change,open,high,low,vol,timestamp
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:14:12.192522
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:15:12.237439
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:15:12.237439
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:15:12.237439
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:16:12.513169
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:16:12.513169
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:16:12.513169
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:17:12.561634
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:17:12.561634
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:17:12.561634
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:18:12.598535
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:18:12.598535
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:18:12.598535
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:19:12.641304
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:19:12.641304
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:19:12.641304
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:20:12.674664
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:20:12.674664
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:20:12.674664
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:21:12.712323
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:21:12.712323
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:21:12.712323
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:22:12.750091
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:22:12.750091
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:22:12.750091
